name,address,num_of_stations,coordinates
Dundas Subway Station,300 Yonge St,6,"43.652276,-79.380701"
Osgoode SUBWAY Station,250 University Ave,6,"43.652276,-79.380701"
St Patrick Subway Station,147 University Ave,6,"43.652276,-79.380701"
St Patrick Subway Station,449 University Ave,6,"43.652276,-79.380701"
Union Subway Station,55 Front St E,6,"43.652276,-79.380701"
,,0,"43.7063473,-79.40161"
,,0,"43.6978701,-79.39419"
,,0,"43.696708,-79.40045"
King Subway Station,70 Yonge St,4,"43.6476616,-79.37549"
Union Subway Station,55 Front St E,4,"43.6476616,-79.37549"
St Patrick Subway Station,147 University Ave,4,"43.6476616,-79.37549"
Osgoode SUBWAY Station,250 University Ave,4,"43.6476616,-79.37549"
King Subway Station,70 Yonge St,2,"43.6487245,-79.36839"
Union Subway Station,55 Front St E,2,"43.6487245,-79.36839"
,,0,"43.667819,-79.35347"
Wellesley Subway Station,551 Yonge St,2,"43.663102,-79.373181"
Dundas Subway Station,300 Yonge St,2,"43.663102,-79.373181"
King Subway Station,70 Yonge St,6,"43.64852,-79.380576"
Union Subway Station,55 Front St E,6,"43.64852,-79.380576"
